id,month,season,hour
1591144368206_6,Jun,summer,20
1592093421606_52,Jun,summer,20
1595030950453_81,Jul,summer,20
1593513233798_7,Jun,summer,6
1608188806867_42,Dec,winter,2
1587854711825_63,Apr,spring,18
1599685628474_87,Sep,fall,17
1584122781366_99,Mar,spring,14
1604954416501_18,Nov,fall,15
1606086219381_50,Nov,fall,18
1599917627406_45,Sep,fall,9
1600043234758_52,Sep,fall,20
1587802118267_6,Apr,spring,4
1594770979537_86,Jul,summer,19
1586044245806_67,Apr,spring,19
1602120929117_88,Oct,fall,21
1585176944897_11,Mar,spring,18
1591677303762_21,Jun,summer,0
1595670053574_56,Jul,summer,5
1601432248429_44,Sep,fall,22
1601149291874_77,Sep,fall,15
1585621047215_67,Mar,spring,22
1600018074879_72,Sep,fall,13
1586679574461_81,Apr,spring,4
1600677504431_38,Sep,fall,4
1600048960265_53,Sep,fall,22
1589155626540_94,May,spring,20
1605998740229_9,Nov,fall,17
1610183491470_14,Jan,winter,4
1602989778869_10,Oct,fall,22
1599545988403_83,Sep,fall,2
1588855484152_71,May,spring,8
1595565474670_29,Jul,summer,0
1598831196607_38,Aug,summer,19
1604976727722_54,Nov,fall,21
1607106743238_44,Dec,winter,13
1601519114756_66,Sep,fall,22
1608847737647_73,Dec,winter,17
1592813741760_54,Jun,summer,4
1599789887496_89,Sep,fall,22
1608181986350_5,Dec,winter,0
1602277915520_95,Oct,fall,17
1604945351303_26,Nov,fall,13
1599883129826_64,Sep,fall,23
1584778729971_63,Mar,spring,4
1607803659783_15,Dec,winter,15
1584590038744_71,Mar,spring,23
1595392682100_63,Jul,summer,0
1598178986886_9,Aug,summer,6
1609401965368_40,Dec,winter,3
1604191102731_23,Oct,fall,20
1606615433853_84,Nov,fall,21
1584988706689_56,Mar,spring,14
1603585119935_89,Oct,fall,20
1590817115802_63,May,spring,1
1584328036843_10,Mar,spring,23
1605103584775_80,Nov,fall,9
1584999446238_98,Mar,spring,17
1601011765112_67,Sep,fall,1
1599022598548_91,Sep,fall,0
